consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,participant,session,date,expName,psychopyVersion,OS,frameRate,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,3.549000025,CHICKEN,FALSE,,,,,,,171,pollastre,Catalan,Sounds/cat_pollastre.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,63,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.76699996,CHICKEN,FALSE,,,,,,,171,pollastre,Catalan,Sounds/cat_pollastre.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,3.76699996,1,0,81,63,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,pollastre,Catalan,Sounds/cat_pollastre.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,63,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,5.667999983,V,FALSE,,,,,,,116,bolquer,Catalan,Sounds/cat_bolquer.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,11,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,5.751999855,VO,FALSE,,,,,,,116,bolquer,Catalan,Sounds/cat_bolquer.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,11,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,5.917999983,VOL,FALSE,,,,,,,116,bolquer,Catalan,Sounds/cat_bolquer.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,11,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,5.968999863,VOLC,FALSE,,,,,,,116,bolquer,Catalan,Sounds/cat_bolquer.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,11,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,6.100999832,VOLCA,FALSE,,,,,,,116,bolquer,Catalan,Sounds/cat_bolquer.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,11,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,6.201999903,VOLCAN,FALSE,,,,,,,116,bolquer,Catalan,Sounds/cat_bolquer.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,11,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,6.363999844,VOLCANO,FALSE,,,,,,,116,bolquer,Catalan,Sounds/cat_bolquer.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,11,1,80
