consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,zanahoria,Spanish,Sounds/spa_zanahoria.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,97,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,3.828999996,P,FALSE,,,,,,,68,naranja,Spanish,Sounds/spa_naranja.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,64,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.955999851,PA,FALSE,,,,,,,68,naranja,Spanish,Sounds/spa_naranja.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,64,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,4.259000063,PAT,FALSE,,,,,,,68,naranja,Spanish,Sounds/spa_naranja.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,64,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,4.398999929,PATH,FALSE,,,,,,,68,naranja,Spanish,Sounds/spa_naranja.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,64,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.772000074,PATH,FALSE,,,,,,,68,naranja,Spanish,Sounds/spa_naranja.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,4.772000074,1,0,98,64,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,naranja,Spanish,Sounds/spa_naranja.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,64,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,2.861000061,F,FALSE,,,,,,,38,frambuesa,Spanish,Sounds/spa_frambuesa.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,34,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.190000057,FR,FALSE,,,,,,,38,frambuesa,Spanish,Sounds/spa_frambuesa.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,34,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.421000004,FRA,FALSE,,,,,,,38,frambuesa,Spanish,Sounds/spa_frambuesa.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,34,1,97
