consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,trialOffset,keyPressTime,keyPressed,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.911999941,1.911999941,return,,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.225999832,c,C,FALSE,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,14,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.325999975,a,CA,FALSE,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,14,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44299984,s,CAS,FALSE,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,14,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.559000015,a,CASA,FALSE,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,14,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.296999931,4.297999859,return,,FALSE,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,14,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,14,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.697000027,g,G,FALSE,,,,,,,139,galleda,Catalan,Sounds/cat_galleda.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,34,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.962000132,a,GA,FALSE,,,,,,,139,galleda,Catalan,Sounds/cat_galleda.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,34,1,79
