participant,consent_key.keys,consent_key.rt,language_native_key.keys,language_native_key.rt,language_home_key.keys,language_home_key.rt,language_prof_oral_english_key.keys,language_prof_oral_english_key.rt,language_prof_oral_spanish_key.keys,language_prof_oral_spanish_key.rt,language_prof_oral_catalan_key.keys,language_prof_oral_catalan_key.rt,language_prof_written_english_key.keys,language_prof_written_english_key.rt,language_prof_written_spanish_key.keys,language_prof_written_spanish_key.rt,language_prof_written_catalan_key.keys,language_prof_written_catalan_key.rt,age,date,expName,psychopyVersion,OS,frameRate,demo_age_key.keys,demo_age_key.rt,demo_sex_key.keys,demo_sex_key.rt,demo_education_key.keys,demo_education_key.rt,demo_vision_key.keys,demo_vision_key.rt,demo_impairment_key.keys,demo_impairment_key.rt,setup_where_key.keys,setup_where_key.rt,setup_noise_key.keys,setup_noise_key.rt,letterTyped,typingOnset,inputText,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_trials.order,trial_id,word,test_language,soundfile,correction,trials_catalan.thisRepN,trials_catalan.thisTrialN,trials_catalan.thisN,trials_catalan.thisIndex,trials_catalan.ran,trials_catalan.order
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,T,2.218000174,GALLET,,,,,,,138,galeta,Catalan,Sounds/cat_galeta.wav,,1,0,80,33,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,A,2.424000025,GALLETA,,,,,,,138,galeta,Catalan,Sounds/cat_galeta.wav,,1,0,80,33,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,2.424000025,,,,,,,,138,galeta,Catalan,Sounds/cat_galeta.wav,,1,0,80,33,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,138,galeta,Catalan,Sounds/cat_galeta.wav,,1,0,80,33,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,C,1.63499999,C,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.wav,,1,0,80,14,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,A,1.720999956,CA,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.wav,,1,0,80,14,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,J,1.902999878,CAJ,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.wav,,1,0,80,14,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,A,1.968999863,CAJA,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.wav,,1,0,80,14,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,1.968999863,,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.wav,,1,0,80,14,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,119,caixa,Catalan,Sounds/cat_caixa.wav,,1,0,80,14,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,C,1.539000034,C,,,,,,,124,cirera,Catalan,Sounds/cat_cirera.wav,,1,0,80,19,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,I,1.654000044,CI,,,,,,,124,cirera,Catalan,Sounds/cat_cirera.wav,,1,0,80,19,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,1.654000044,C,,,,,,,124,cirera,Catalan,Sounds/cat_cirera.wav,yes,1,0,80,19,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,E,2.405999899,CE,,,,,,,124,cirera,Catalan,Sounds/cat_cirera.wav,,1,0,80,19,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,R,2.506999969,CER,,,,,,,124,cirera,Catalan,Sounds/cat_cirera.wav,,1,0,80,19,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,E,2.60800004,CERE,,,,,,,124,cirera,Catalan,Sounds/cat_cirera.wav,,1,0,80,19,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,R,2.740999937,CERER,,,,,,,124,cirera,Catalan,Sounds/cat_cirera.wav,,1,0,80,19,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,A,2.874000072,CERERA,,,,,,,124,cirera,Catalan,Sounds/cat_cirera.wav,,1,0,80,19,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,2.874000072,,,,,,,,124,cirera,Catalan,Sounds/cat_cirera.wav,,1,0,80,19,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,124,cirera,Catalan,Sounds/cat_cirera.wav,,1,0,80,19,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,L,2.054999828,L,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.wav,,1,0,80,45,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,U,2.271999836,LU,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.wav,,1,0,80,45,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,N,2.338999987,LUN,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.wav,,1,0,80,45,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,A,2.523000002,LUNA,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.wav,,1,0,80,45,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,2.523000002,,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.wav,,1,0,80,45,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.wav,,1,0,80,45,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,C,1.336999893,C,,,,,,,127,cotxe,Catalan,Sounds/cat_cotxe.wav,,1,0,80,22,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,O,1.437000036,CO,,,,,,,127,cotxe,Catalan,Sounds/cat_cotxe.wav,,1,0,80,22,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,T,1.555999994,COT,,,,,,,127,cotxe,Catalan,Sounds/cat_cotxe.wav,,1,0,80,22,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,X,1.957000017,COTX,,,,,,,127,cotxe,Catalan,Sounds/cat_cotxe.wav,,1,0,80,22,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,E,2.121999979,COTXE,,,,,,,127,cotxe,Catalan,Sounds/cat_cotxe.wav,,1,0,80,22,1,79
