frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
148	0.148	0.04216	2383.121	533.762	3545.823	520.393	4500.546	580.189
149	0.149	0.04216	2494.043	400.495	3417.582	409.721	4305.947	436.249
150	0.150	0.03984	2268.957	552.163	3544.285	699.746	4823.483	845.305
151	0.151	0.03984	2194.762	936.095	3648.687	474.759	4986.953	1340.248
152	0.152	0.03367	1976.477	443.643	2982.686	651.732	4413.906	929.199
153	0.153	0.03367	2647.496	1090.237	3547.160	828.941	4494.171	1056.770
154	0.154	0.01694	2552.504	325.474	3474.388	383.881	4384.136	482.422
155	0.155	0.01530	1941.553	1260.653	3657.709	438.714	4692.365	650.605
156	0.156	0.01286	2385.943	423.136	3406.153	494.308	4426.296	480.809
157	0.157	0.03230	2438.764	636.045	3425.427	590.763	4726.466	988.868
158	0.158	0.03230	2463.107	571.334	3394.887	410.000	4166.789	374.239
159	0.159	0.02900	2329.431	382.743	3256.778	410.362	4128.476	429.461
160	0.160	0.06462	2304.146	1053.972	3652.355	540.795	4772.689	758.554
161	0.161	0.06462	2314.935	437.022	3379.151	495.211	4316.551	471.062
162	0.162	0.02452	2897.289	1497.367	3259.540	1063.760	4224.053	666.553
163	0.163	0.02170	2547.283	998.202	3490.750	782.749	4448.140	952.718
164	0.164	0.02170	1960.909	1753.426	3310.632	535.071	4204.192	623.426
165	0.165	0.02634	2077.731	518.201	3548.129	592.988	4387.612	494.826
166	0.166	0.02634	2046.990	571.086	3239.342	490.017	4104.942	2001.843
167	0.167	0.02079	2485.216	2470.132	3297.038	532.400	4197.187	518.281
168	0.168	0.02286	2218.906	1168.488	3362.740	455.954	4221.864	542.116
169	0.169	0.02286	2214.753	634.482	3390.252	595.200	4358.576	520.065
170	0.170	0.06596	2352.106	450.889	3350.103	429.284	4240.023	414.235
171	0.171	0.06596	2143.071	887.451	3568.559	471.483	4424.852	519.023
172	0.172	0.04023	2161.279	503.335	3385.995	625.944	4987.973	983.514
173	0.173	0.02348	2366.500	385.690	3308.880	429.667	4310.674	1349.891
174	0.174	0.02793	2377.269	1787.252	3454.900	863.682	4980.384	1496.258
175	0.175	0.03346	2079.005	718.345	3678.298	507.110	4789.269	841.737
