frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
191	0.191	0.02023	277.100	1173.398	2524.237	692.420	4085.410	1172.236
192	0.192	0.01773	1403.260	582.778	1861.595	4416.281	4079.299	744.285
193	0.193	0.01998	601.967	1311.001	1915.823	831.975	4135.403	618.414
194	0.194	0.02348	1318.299	1016.056	2017.448	2797.851	3971.183	857.596
195	0.195	0.02348	990.975	750.812	1978.837	717.184	3962.018	706.999
196	0.196	0.02078	1062.301	1289.249	2356.865	1494.906	3965.749	883.643
197	0.197	0.02078	1180.001	587.212	2180.193	786.847	3814.025	701.407
198	0.198	0.02623	1052.312	1435.150	2363.753	1300.881	3924.808	877.653
199	0.199	0.02623	1075.427	690.184	2019.883	640.523	3903.473	646.305
200	0.200	0.01866	1855.511	1184.812	3917.179	1296.314	--undefined--	--undefined--
201	0.201	0.01866	1060.056	547.672	1978.833	473.876	3977.216	549.536
202	0.202	0.02425	1869.039	526.765	4113.411	1074.804	--undefined--	--undefined--
203	0.203	0.02425	1167.443	543.472	2125.964	668.572	3845.970	549.209
204	0.204	0.02117	1110.538	1273.315	2491.777	942.147	4011.955	1037.520
205	0.205	0.02117	1175.619	759.104	2134.132	1032.309	3952.959	749.380
206	0.206	0.02217	632.445	1031.281	2571.961	617.757	4170.199	1084.350
207	0.207	0.02217	1263.170	999.355	1883.354	1784.050	3956.269	615.329
208	0.208	0.02137	666.943	563.583	2566.635	1065.466	4032.591	616.941
209	0.209	0.01994	1419.488	646.982	4006.482	644.680	--undefined--	--undefined--
210	0.210	0.01994	798.401	1601.341	1345.482	2289.134	4124.890	902.046
211	0.211	0.01974	1358.479	660.143	1949.068	4014.859	3974.251	675.417
212	0.212	0.01974	1298.146	1118.922	4131.291	787.913	--undefined--	--undefined--
213	0.213	0.01666	1245.461	694.779	2287.173	1766.962	4005.667	636.525
214	0.214	0.02518	771.502	840.603	1713.743	937.132	3878.561	571.307
215	0.215	0.02518	1272.760	909.559	2700.636	2204.521	4110.466	1204.853
216	0.216	0.02043	945.116	736.026	1890.975	1219.496	3832.036	476.662
217	0.217	0.01732	1075.839	979.405	2464.493	1424.407	4011.334	852.270
218	0.218	0.01732	1110.276	717.039	2064.515	1884.538	3763.660	966.645
219	0.219	0.02234	1081.694	1326.743	2563.281	2181.891	4098.434	1892.492
220	0.220	0.02234	1062.729	588.664	2119.587	1281.931	3782.262	631.082
221	0.221	0.02266	956.220	1346.963	2558.420	1967.939	4035.985	1584.550
222	0.222	0.02266	1076.792	628.686	2116.541	1236.088	3861.399	604.191
223	0.223	0.02197	922.888	1213.494	2372.149	1780.272	3898.990	1239.996
224	0.224	0.02197	1141.626	714.767	2070.271	1771.830	3971.726	766.143
225	0.225	0.02212	903.999	1197.718	2335.300	1489.300	3828.865	1032.211
226	0.226	0.02212	1143.082	731.543	1958.784	2103.677	3956.731	679.196
227	0.227	0.02344	927.076	1300.569	2362.017	1605.809	3952.027	1172.213
228	0.228	0.02344	1238.964	701.148	1495.823	3044.817	4035.415	843.681
229	0.229	0.02819	948.134	1285.439	2387.072	1575.759	3895.830	1108.836
230	0.230	0.02819	1211.571	3544.250	1236.416	637.336	4058.887	728.160
