frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
108	0.108	0.00042	1367.093	966.774	3662.265	2687.217	--undefined--	--undefined--
109	0.109	0.00060	1842.237	380.597	--undefined--	--undefined--	--undefined--	--undefined--
110	0.110	0.00060	547.192	697.257	1459.472	578.648	3776.912	1380.123
111	0.111	0.00041	1140.364	633.752	2271.799	807.780	--undefined--	--undefined--
112	0.112	0.00041	518.157	1125.991	1494.009	1169.213	3350.508	1743.273
113	0.113	0.00026	741.693	382.305	3093.870	949.548	--undefined--	--undefined--
114	0.114	0.00041	321.610	633.228	2126.744	1386.327	3779.896	1232.850
115	0.115	0.00041	528.641	916.663	1361.391	903.916	3597.339	936.010
116	0.116	0.00025	973.864	561.157	1913.572	662.973	--undefined--	--undefined--
117	0.117	0.00034	512.953	502.038	1481.834	447.910	3771.087	1126.913
118	0.118	0.00034	916.244	425.317	3206.979	3000.164	--undefined--	--undefined--
119	0.119	0.00050	931.020	1167.335	2171.842	1294.154	--undefined--	--undefined--
120	0.120	0.00050	885.053	508.671	1949.826	544.942	--undefined--	--undefined--
121	0.121	0.00034	643.779	1264.442	1637.498	1359.092	3098.848	2114.539
122	0.122	0.00056	992.938	432.727	1859.611	436.097	--undefined--	--undefined--
123	0.123	0.00056	724.595	1072.747	1355.721	1040.591	--undefined--	--undefined--
124	0.124	0.00032	502.578	1210.315	1533.874	1188.840	--undefined--	--undefined--
125	0.125	0.00032	413.934	540.352	1264.746	529.837	4779.897	2969.032
126	0.126	0.00029	695.510	701.032	1935.630	1023.788	--undefined--	--undefined--
127	0.127	0.00026	685.341	451.661	1505.909	437.957	4416.604	3013.336
128	0.128	0.00034	864.077	460.435	1728.422	527.183	4457.655	3740.931
129	0.129	0.00034	912.892	424.112	1776.428	374.273	--undefined--	--undefined--
130	0.130	0.00022	737.341	1016.076	2056.405	1069.491	--undefined--	--undefined--
131	0.131	0.00023	452.279	742.329	2083.288	753.954	--undefined--	--undefined--
132	0.132	0.00029	882.329	441.552	1719.300	397.448	--undefined--	--undefined--
133	0.133	0.00034	1954.814	476.073	3248.566	2916.484	--undefined--	--undefined--
134	0.134	0.00034	700.860	467.175	1452.838	518.715	2348.637	780.843
135	0.135	0.00022	434.076	1265.690	1269.601	1154.999	2311.787	1199.400
136	0.136	0.00020	716.738	634.232	2021.940	543.659	--undefined--	--undefined--
137	0.137	0.00025	411.194	826.372	1241.253	712.736	--undefined--	--undefined--
138	0.138	0.00035	360.754	2169.049	1809.190	879.338	3171.254	3076.924
139	0.139	0.00035	890.005	742.776	1784.357	811.104	--undefined--	--undefined--
140	0.140	0.00021	1016.830	830.301	1865.867	979.157	--undefined--	--undefined--
141	0.141	0.00022	851.812	716.711	1863.234	637.519	--undefined--	--undefined--
142	0.142	0.00022	403.822	669.572	1224.989	574.666	3822.597	1790.273
143	0.143	0.00030	897.255	1219.947	1874.718	839.538	--undefined--	--undefined--
144	0.144	0.00030	514.573	651.472	1442.223	578.123	3512.959	4977.873
145	0.145	0.00021	890.622	525.827	1699.018	611.516	--undefined--	--undefined--
146	0.146	0.00024	1132.417	1174.793	2234.680	1084.234	--undefined--	--undefined--
147	0.147	0.00024	929.946	638.675	1695.366	2428.030	--undefined--	--undefined--
148	0.148	0.00029	1012.627	1316.034	2114.806	1112.126	--undefined--	--undefined--
149	0.149	0.00029	436.211	480.430	1370.847	506.408	3192.620	1092.268
150	0.150	0.00017	925.010	738.126	1827.035	691.224	--undefined--	--undefined--
151	0.151	0.00022	972.798	555.184	1902.916	541.152	--undefined--	--undefined--
152	0.152	0.00022	1008.448	757.865	2409.156	1339.380	--undefined--	--undefined--
153	0.153	0.00027	951.739	541.115	1961.290	555.772	--undefined--	--undefined--
154	0.154	0.00027	403.959	831.421	1034.165	5888.351	2301.991	1781.542
155	0.155	0.00021	1123.553	1138.382	2299.733	1403.570	--undefined--	--undefined--
156	0.156	0.00018	1023.820	522.912	1939.944	556.846	--undefined--	--undefined--
157	0.157	0.00024	1010.666	819.464	2316.209	1657.162	--undefined--	--undefined--
158	0.158	0.00025	892.668	550.134	1810.695	541.223	--undefined--	--undefined--
159	0.159	0.00025	689.415	299.941	2339.998	352.600	--undefined--	--undefined--
160	0.160	0.00021	473.223	831.294	1456.932	854.712	2541.716	871.474
161	0.161	0.00021	1006.901	411.186	1886.087	475.622	--undefined--	--undefined--
162	0.162	0.00023	595.175	501.065	1615.296	481.635	--undefined--	--undefined--
163	0.163	0.00023	444.032	489.961	1326.174	476.602	2421.031	1119.962
164	0.164	0.00018	734.247	456.505	2514.619	733.055	--undefined--	--undefined--
165	0.165	0.00021	403.181	739.576	1468.492	1480.136	2385.410	1088.561
166	0.166	0.00021	718.517	541.609	1562.163	516.644	4346.048	3965.848
167	0.167	0.00029	986.808	1026.550	1620.542	1960.000	3483.630	1310.939
168	0.168	0.00029	568.724	909.874	1470.268	647.449	--undefined--	--undefined--
169	0.169	0.00018	814.512	1142.421	2444.801	1188.962	--undefined--	--undefined--
170	0.170	0.00020	483.816	663.488	2099.817	748.330	--undefined--	--undefined--
171	0.171	0.00021	911.620	614.739	1744.847	560.697	--undefined--	--undefined--
172	0.172	0.00024	1066.638	530.254	3200.046	1133.033	--undefined--	--undefined--
173	0.173	0.00024	557.860	563.837	1485.978	469.438	--undefined--	--undefined--
174	0.174	0.00019	902.142	568.758	2099.194	665.869	--undefined--	--undefined--
175	0.175	0.00021	364.706	453.006	2187.672	676.222	--undefined--	--undefined--
176	0.176	0.00021	916.268	676.535	1825.598	686.557	--undefined--	--undefined--
177	0.177	0.00025	797.971	757.789	1820.993	1490.976	3075.200	1740.126
178	0.178	0.00025	591.998	516.992	1483.423	437.110	4893.734	1760.954
179	0.179	0.00018	920.139	653.997	2113.994	783.529	--undefined--	--undefined--
180	0.180	0.00021	482.385	617.925	2378.111	1158.438	--undefined--	--undefined--
181	0.181	0.00024	946.239	636.851	1961.585	815.675	--undefined--	--undefined--
182	0.182	0.00024	731.364	923.636	2044.114	2822.897	--undefined--	--undefined--
183	0.183	0.00023	656.290	556.820	1529.777	529.774	4028.687	2225.178
184	0.184	0.00015	897.800	620.878	1952.585	670.849	--undefined--	--undefined--
185	0.185	0.00017	701.307	207.456	2864.843	586.105	--undefined--	--undefined--
