frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
326	0.326	0.00080	838.125	636.489	3110.536	990.087	--undefined--	--undefined--
327	0.327	0.00080	901.160	1583.940	967.483	1034.118	4827.453	1831.387
328	0.328	0.00050	868.455	470.157	3202.367	2101.026	--undefined--	--undefined--
329	0.329	0.00080	833.870	475.418	2822.483	1125.087	--undefined--	--undefined--
330	0.330	0.00080	949.721	489.322	2200.937	4723.442	3278.115	3825.487
331	0.331	0.00054	117.646	1344.025	988.041	859.107	2997.275	989.749
332	0.332	0.00086	809.011	588.005	2749.277	1191.210	--undefined--	--undefined--
333	0.333	0.00086	920.912	868.742	2365.970	1280.895	--undefined--	--undefined--
334	0.334	0.00052	386.290	878.391	1143.490	796.172	3387.075	813.807
335	0.335	0.00081	817.703	369.961	3009.914	928.604	--undefined--	--undefined--
336	0.336	0.00081	729.431	810.116	2684.294	791.315	--undefined--	--undefined--
337	0.337	0.00053	1032.453	666.980	1854.717	4138.182	--undefined--	--undefined--
338	0.338	0.00064	271.912	1417.614	1042.465	1125.132	4584.430	2196.522
339	0.339	0.00067	534.479	650.905	3720.824	848.824	--undefined--	--undefined--
340	0.340	0.00088	989.888	598.442	3198.974	1155.216	--undefined--	--undefined--
341	0.341	0.00250	553.906	517.168	2970.322	919.349	4317.258	1408.434
342	0.342	0.00250	477.328	700.575	2778.420	1052.437	--undefined--	--undefined--
343	0.343	0.00199	538.501	1596.701	2985.680	805.228	--undefined--	--undefined--
344	0.344	0.00299	1194.832	1172.235	2885.950	723.234	--undefined--	--undefined--
345	0.345	0.00299	486.611	597.388	2417.689	1926.216	4974.036	758.009
