frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
130	0.130	0.00064	936.288	829.963	1669.925	1081.238	3738.350	463.869
131	0.131	0.00067	621.023	828.509	1589.512	776.239	3351.080	440.842
132	0.132	0.00067	492.185	629.992	1524.488	664.069	2805.245	661.312
133	0.133	0.00056	589.093	1007.628	1680.438	1427.676	3437.962	865.192
134	0.134	0.00074	1379.558	516.249	2366.705	631.585	3441.127	564.987
135	0.135	0.00074	443.758	551.238	1424.544	555.854	3535.025	436.747
136	0.136	0.00047	945.918	801.616	3319.856	429.343	--undefined--	--undefined--
137	0.137	0.00068	1029.276	962.556	2110.645	1181.214	3450.512	560.063
138	0.138	0.00068	428.712	346.303	2295.398	1118.293	3609.551	775.468
139	0.139	0.00043	965.971	568.270	3269.877	763.298	--undefined--	--undefined--
140	0.140	0.00071	544.379	735.788	1602.627	885.631	3214.562	487.575
141	0.141	0.00071	902.453	540.549	1931.078	2090.724	3555.459	587.073
142	0.142	0.00067	582.239	777.087	1746.478	921.180	3168.033	477.014
143	0.143	0.00067	455.704	567.639	1406.570	587.193	2478.156	562.181
144	0.144	0.00065	656.945	958.828	1891.843	1502.817	3310.110	866.097
145	0.145	0.00068	1079.050	1275.658	2188.888	803.419	3320.639	666.597
146	0.146	0.00068	862.680	1226.336	2181.593	1194.452	--undefined--	--undefined--
147	0.147	0.00058	668.230	922.166	3275.785	477.268	--undefined--	--undefined--
148	0.148	0.00082	1343.667	1157.210	2278.440	952.044	3503.506	590.081
149	0.149	0.00082	440.374	492.502	2621.170	1210.266	--undefined--	--undefined--
150	0.150	0.00059	463.970	820.992	1325.636	1425.717	3128.688	493.712
151	0.151	0.00093	1251.223	791.613	3658.959	535.969	--undefined--	--undefined--
152	0.152	0.00099	649.947	863.005	3371.062	845.958	--undefined--	--undefined--
153	0.153	0.00099	525.197	1317.309	1180.782	1162.875	3610.668	1303.485
154	0.154	0.00124	1061.697	908.876	3664.040	502.413	--undefined--	--undefined--
155	0.155	0.00124	741.623	908.453	1897.582	1740.887	3718.670	622.219
156	0.156	0.00243	943.129	622.831	2000.226	833.043	3568.711	860.687
157	0.157	0.00243	658.108	989.492	2192.299	1223.181	3643.311	614.960
158	0.158	0.00455	561.590	1439.894	1295.749	2015.153	3704.343	734.308
159	0.159	0.00455	528.447	2076.150	1385.579	1098.647	3743.576	528.704
160	0.160	0.00326	531.273	1500.142	2420.081	1395.051	3832.259	588.556
161	0.161	0.01084	830.071	614.083	3811.935	428.476	--undefined--	--undefined--
162	0.162	0.01084	1187.013	605.859	2344.481	1514.188	3787.264	578.438
163	0.163	0.00584	1525.865	376.883	2580.658	6422.993	3994.900	459.206
164	0.164	0.01099	884.587	759.513	3829.428	417.577	--undefined--	--undefined--
165	0.165	0.01099	1205.344	496.544	2575.770	1400.801	3767.602	554.446
166	0.166	0.00672	1197.612	643.875	2156.325	1876.035	3873.512	582.889
167	0.167	0.01779	1004.807	658.685	2170.150	1082.698	3741.027	612.303
168	0.168	0.01779	1151.690	962.170	1818.232	2609.261	3678.926	551.387
169	0.169	0.00597	767.641	1007.915	1915.695	1185.267	3681.190	701.743
170	0.170	0.02245	833.225	900.755	1986.344	898.153	3556.138	625.027
171	0.171	0.02245	1045.020	970.142	2099.637	895.895	3610.152	787.418
172	0.172	0.03210	425.151	1316.507	1601.445	1154.947	3769.669	541.343
173	0.173	0.03210	1026.067	939.118	1809.158	1028.108	3734.408	500.627
174	0.174	0.01390	1405.541	436.609	2331.590	599.428	3663.320	1440.057
175	0.175	0.03770	1882.318	610.420	3756.175	348.722	--undefined--	--undefined--
176	0.176	0.03770	1244.773	691.630	1963.968	1322.044	3801.082	486.213
177	0.177	0.01438	1195.575	941.176	2145.662	1089.298	3332.766	2257.271
178	0.178	0.03781	698.895	791.484	1703.879	743.430	3550.835	393.873
179	0.179	0.03781	1266.625	562.037	2427.179	986.954	3754.815	564.050
180	0.180	0.01168	1097.313	702.435	1983.831	1090.949	3640.567	656.835
181	0.181	0.02737	1018.740	477.806	1867.584	2351.061	3494.889	428.609
182	0.182	0.02737	1087.861	959.340	2566.537	1091.946	3735.178	628.285
183	0.183	0.00570	1192.491	1310.456	3612.262	478.351	--undefined--	--undefined--
184	0.184	0.02163	870.398	786.709	2281.735	1002.421	3553.459	616.693
185	0.185	0.02163	806.846	1115.977	2777.084	2016.186	3611.976	699.499
186	0.186	0.01034	2390.092	892.419	3627.027	510.404	--undefined--	--undefined--
187	0.187	0.03778	901.511	1009.390	2293.203	992.972	3616.624	627.583
188	0.188	0.03778	2143.704	1715.408	3296.960	472.027	--undefined--	--undefined--
189	0.189	0.04473	458.284	1019.048	2264.413	830.937	3464.413	541.666
190	0.190	0.04473	1145.363	877.873	2375.859	1255.352	3714.735	641.310
191	0.191	0.01870	812.653	2605.997	1921.926	1374.162	3308.509	720.687
192	0.192	0.05811	613.052	786.068	2000.862	710.799	3282.600	434.219
193	0.193	0.05811	1307.745	520.786	2625.526	2122.704	3752.811	579.680
194	0.194	0.01389	1179.526	903.541	2373.689	932.960	3536.996	705.429
195	0.195	0.05760	560.603	978.364	2102.472	694.883	3456.630	457.942
196	0.196	0.05760	1382.007	596.650	2389.032	2130.897	3773.213	553.388
197	0.197	0.02487	1279.145	650.634	2404.758	730.819	3590.510	635.756
