group,trial_id,test_language,word,freq,pthn,consecutive_longest,same_onset,close_substitutions,similarity_ort,similarity_phon,correct,n,proportion
ENG-SPA,17,Spanish,calcetin,3.95329568120226,16,1,Different,0,0.166666666666666,0.181818181818181,0,27,0
ENG-SPA,18,Spanish,camisa,4.66626050989058,6,0,Different,0,0.181818181818181,0,2,28,0.0714285714285714
ENG-SPA,19,Spanish,camiseta,,,1,Different,0.153846153846153,0.266666666666666,0.307692307692307,2,27,0.0740740740740741
ENG-SPA,20,Spanish,caracol,3.2466708856907,7,1,Different,0,0.333333333333333,0.166666666666666,0,28,0
ENG-SPA,21,Spanish,cebra,3.39963911496427,0,2,Different,0.2,0.8,0.4,7,28,0.25
ENG-SPA,22,Spanish,cepillo,4.15096816435042,2,0,Different,0,0,0,0,28,0
ENG-SPA,23,Spanish,cerdo,4.59259086129266,3,0,Different,0.25,0,0,0,28,0
ENG-SPA,24,Spanish,cereza,4.13316193047479,6,1,Different,0.4,0.5,0.2,0,27,0
ENG-SPA,25,Spanish,cesta,4.11980006636213,0,1,Different,0,0.363636363636363,0.363636363636363,0,28,0
ENG-SPA,26,Spanish,chaqueta,4.52389987309428,0,1,Different,0.545454545454545,0.428571428571428,0.363636363636363,10,27,0.37037037037037
ENG-SPA,27,Spanish,chocolate,4.46823209414004,0,1,Same,0,1,0.533333333333333,26,28,0.928571428571428
ENG-SPA,28,Spanish,cielo,4.65131581923833,0,0,Different,0.222222222222222,0,0,1,28,0.0357142857142857
ENG-SPA,29,Spanish,coche,5.68399999816614,2,1,Same,0,0.25,0.333333333333333,0,28,0
ENG-SPA,30,Spanish,corona,4.13628605538239,4,1,Same,0,0.727272727272727,0.545454545454545,1,28,0.0357142857142857
ENG-SPA,31,Spanish,cubo,4.0008503840801,1,1,Different,0,0.2,0.222222222222222,2,26,0.0769230769230769
ENG-SPA,32,Spanish,cuchara,3.8812590869948,3,1,Different,0,0,0.2,0,28,0
ENG-SPA,33,Spanish,dedo,4.56427182525155,0,0,Different,0.222222222222222,0.2,0,0,28,0
ENG-SPA,34,Spanish,ensalada,4.2309493489428,0,1,Different,0.153846153846153,0.769230769230769,0.461538461538461,9,28,0.321428571428571
ENG-SPA,35,Spanish,esponja,3.82645707283691,0,2,Different,0,0.615384615384615,0.333333333333333,2,28,0.0714285714285714
ENG-SPA,36,Spanish,estrella,4.91037303891454,3,2,Different,0,0.5,0.4,0,27,0
ENG-SPA,37,Spanish,flor,4.35726193141983,1,2,Same,0,0.8,0.444444444444444,4,28,0.142857142857143
