participant,group,n,n_valid,n_correct,prop_correct,test_language,age,l2,l2oral,l2written,sex,impairment,valid_participant
5e642125757e611ae1a52811,ENG-CAT,103,75,14,0.186666666666667,Spanish,,None,1,1,Male,FALSE,FALSE
5e6571b32013562f77434b40,ENG-CAT,103,102,31,0.303921568627451,Spanish,24,None,,,Male,FALSE,TRUE
5e6571b32013562f77434b40,ENG-CAT,103,102,31,0.303921568627451,Spanish,,None,,,Male,FALSE,
5e71e92d7c127310819224be,ENG-CAT,103,100,20,0.2,Spanish,24,None,,,Female,FALSE,TRUE
5e71e92d7c127310819224be,ENG-CAT,103,100,20,0.2,Spanish,,None,,,Female,FALSE,
5e73ed268c8f27364de746c5,ENG-CAT,86,85,10,0.117647058823529,Catalan,21,None,,,Female,FALSE,TRUE
5e73ed268c8f27364de746c5,ENG-CAT,86,85,10,0.117647058823529,Catalan,,None,,,Female,FALSE,
5e788a0aecd8c5000980308e,ENG-CAT,103,103,11,0.106796116504854,Spanish,19,None,,,Female,FALSE,TRUE
5e788a0aecd8c5000980308e,ENG-CAT,103,103,11,0.106796116504854,Spanish,,None,,,Female,FALSE,
5e7b804f9379140478c688da,ENG-CAT,86,82,12,0.146341463414634,Catalan,24,None,,,Male,FALSE,TRUE
5e7b804f9379140478c688da,ENG-CAT,86,82,12,0.146341463414634,Catalan,,None,,,Male,FALSE,
5e7d34b1a7cdf60009521d2a,ENG-CAT,86,86,19,0.22093023255814,Catalan,20,None,,,Male,FALSE,TRUE
5e7d34b1a7cdf60009521d2a,ENG-CAT,86,86,19,0.22093023255814,Catalan,,None,,,Male,FALSE,
5e811195ec31d30008690bcd,ENG-CAT,86,71,14,0.197183098591549,Catalan,21,None,,,Female,FALSE,TRUE
5e811195ec31d30008690bcd,ENG-CAT,86,71,14,0.197183098591549,Catalan,,None,,,Female,FALSE,
5e84efb71d17ad0c8430495a,ENG-CAT,103,103,26,0.252427184466019,Spanish,21,None,,,Female,FALSE,TRUE
5e84efb71d17ad0c8430495a,ENG-CAT,103,103,26,0.252427184466019,Spanish,,None,,,Female,FALSE,
5e85f278c880ee1edb7e96ee,ENG-CAT,72,72,13,0.180555555555556,Catalan,24,None,,,Female,FALSE,TRUE
5e85f278c880ee1edb7e96ee,ENG-CAT,72,72,13,0.180555555555556,Catalan,,None,,,Female,FALSE,
5e85f278c880ee1edb7e96ee,ENG-SPA,14,14,6,0.428571428571429,Catalan,24,None,,,Female,FALSE,FALSE
5e85f278c880ee1edb7e96ee,ENG-SPA,14,14,6,0.428571428571429,Catalan,,None,,,Female,FALSE,FALSE
5e8f39008ed06f208d57df3b,ENG-SPA,30,26,7,0.269230769230769,Spanish,21,None,,,Male,FALSE,FALSE
5e8f39008ed06f208d57df3b,ENG-SPA,30,26,7,0.269230769230769,Spanish,,None,,,Male,FALSE,FALSE
5e90c561bdeaf60737085250,ENG-SPA,86,85,8,0.0941176470588235,Catalan,18,Punjabi,3,1,Female,FALSE,TRUE
5e90c561bdeaf60737085250,ENG-SPA,86,85,8,0.0941176470588235,Catalan,,Punjabi,3,1,Female,FALSE,
5e95befc3834c10008c19c43,ENG-SPA,103,103,20,0.194174757281553,Spanish,21,None,,,Female,FALSE,TRUE
5e95befc3834c10008c19c43,ENG-SPA,103,103,20,0.194174757281553,Spanish,,None,,,Female,FALSE,
5e9629228a7eb70aaf79c1aa,ENG-SPA,103,103,22,0.213592233009709,Spanish,24,None,,,Male,FALSE,TRUE
5e9629228a7eb70aaf79c1aa,ENG-SPA,103,103,22,0.213592233009709,Spanish,,None,,,Male,FALSE,
5e9b959c77f86e0a8314b0e8,ENG-SPA,103,102,18,0.176470588235294,Spanish,19,Russian,3,3,Male,FALSE,TRUE
5e9b959c77f86e0a8314b0e8,ENG-SPA,103,102,18,0.176470588235294,Spanish,,Russian,3,3,Male,FALSE,
5e9df7faf4a4e4191f1f14b0,ENG-SPA,103,15,8,0.533333333333333,Spanish,23,None,,,Female,FALSE,FALSE
5e9df7faf4a4e4191f1f14b0,ENG-SPA,103,15,8,0.533333333333333,Spanish,,None,,,Female,FALSE,FALSE
5ea186c334f3aa036bdd1c8b,ENG-SPA,86,85,13,0.152941176470588,Catalan,25,None,,,Female,FALSE,TRUE
5ea186c334f3aa036bdd1c8b,ENG-SPA,86,85,13,0.152941176470588,Catalan,,None,,,Female,FALSE,
5ea1ac832ac60d0762c238a7,ENG-SPA,86,86,19,0.22093023255814,Catalan,25,None,,,Female,FALSE,TRUE
5ea1ac832ac60d0762c238a7,ENG-SPA,86,86,19,0.22093023255814,Catalan,,None,,,Female,FALSE,
5ea21ef214912a12fa60eb5e,ENG-SPA,86,86,15,0.174418604651163,Catalan,18,None,,,Female,FALSE,TRUE
5ea21ef214912a12fa60eb5e,ENG-SPA,86,86,15,0.174418604651163,Catalan,,None,,,Female,FALSE,
5ea300a5733c8107ec2478a3,ENG-SPA,86,86,12,0.13953488372093,Catalan,22,None,,,Female,FALSE,TRUE
5ea300a5733c8107ec2478a3,ENG-SPA,86,86,12,0.13953488372093,Catalan,,None,,,Female,FALSE,
5ea3ef637e4bd537fe45cf6c,ENG-SPA,86,86,18,0.209302325581395,Catalan,19,None,,,Female,FALSE,TRUE
5ea3ef637e4bd537fe45cf6c,ENG-SPA,86,86,18,0.209302325581395,Catalan,,None,,,Female,FALSE,
5eaca13a67ba8f30f90a2dc5,ENG-SPA,86,80,18,0.225,Catalan,23,None,,,Male,FALSE,TRUE
5eaca13a67ba8f30f90a2dc5,ENG-SPA,86,80,18,0.225,Catalan,,None,,,Male,FALSE,
5eacad0d05726e33129cbe93,ENG-SPA,103,103,11,0.106796116504854,Spanish,21,None,,,Female,FALSE,TRUE
5eacad0d05726e33129cbe93,ENG-SPA,103,103,11,0.106796116504854,Spanish,,None,,,Female,FALSE,
5eaeeb1a716ed0081dfa8718,ENG-SPA,103,103,15,0.145631067961165,Spanish,20,None,,,Female,FALSE,TRUE
5eaeeb1a716ed0081dfa8718,ENG-SPA,103,103,15,0.145631067961165,Spanish,,None,,,Female,FALSE,
5eaff502f66eb1023c793616,ENG-SPA,86,86,20,0.232558139534884,Catalan,19,None,,,Male,FALSE,TRUE
5eaff502f66eb1023c793616,ENG-SPA,86,86,20,0.232558139534884,Catalan,,None,,,Male,FALSE,
5eb2d2df52bcce074be5583a,ENG-SPA,103,68,15,0.220588235294118,Spanish,21,None,,,Female,TRUE,FALSE
5eb2d2df52bcce074be5583a,ENG-SPA,103,68,15,0.220588235294118,Spanish,,None,,,Female,TRUE,FALSE
5eb3c2e29eb7cb1a6d8054bc,ENG-SPA,103,63,16,0.253968253968254,Spanish,24,None,,,Female,FALSE,FALSE
