trial_id,word,orthography,phonology,translation_english_orthography,translation_english_phonology,translation_catalan_orthography,translation_catalan_phonology,translation_spanish_orthography,translation_spanish_phonology,frequency_zipf,language,soundfile,practice,phoword_eng,lengtho_eng,lengthp_eng,freq_eng,pthn_eng,phoword_spa,lengtho_spa,lengthp_spa,freq_spa,pthn_spa,similarity_engspa,same_onset_engspa,consecutive_longest_engspa,close_substitutions_engspa,similarity_engcat,same_onset_engcat,consecutive_longest_engcat,close_substitutions_engcat,similarity_spacat,same_onset_spacat,consecutive_longest_spacat,close_substitutions_spacat
157,mussol,mussol,/muˈsɔɫ/,owl,/aʊl/,mussol,/muˈsɔɫ/,búho,/'bu.o/,3.96610552,Catalan,Sounds/cat_mussol.wav,FALSE,aU.l,3,2,5.6078,10,b.u.o,,,2.0673,0,0.333333333333333,different,1,0,0.5,different,1,0,0.25,different,1,0.25
158,nas,nas,/nas/,nose,/nəʊz/,nas,/nas/,nariz,/naˈɾiθ/,4.71446806,Catalan,Sounds/cat_nas.wav,FALSE,n.oU.z,4,3,69.7451,6,n.a.4.i.T,,,53.8702,0,0.222222222222222,same_consonant,1,0,0.285714285714285,same_consonant,1,0,0.5,same_consonant,2,0
160,orella,orella,/uˈɾɛ.ʎə/,ear,/ɪə/,orella,/uˈɾɛ.ʎə/,oreja,/oˈɾe.xa/,4.32303692,Catalan,Sounds/cat_orella.wav,FALSE,ir.56,3,2,32,9,o.4.E.x.a,,,15.6731,1,,,,,0.285714285714285,different,1,0,0.2,different,1,0.4
161,ovella,ovella,/uˈbɛ.ʎə/,sheep,/ʃiːp/,ovella,/uˈbɛ.ʎə/,oveja,/o'βe.xa/,3.95690835,Catalan,Sounds/cat_ovella.wav,FALSE,S.i.p,5,3,13.4314,8,o.B.e.x.a,,,6.3221,8,0,different,0,0,0,different,0,0,0,different,0,0.4
162,pa,pa,/pa/,bread,/brɛd/,pa,/pa/,pan,/ˈpan/,5.10369983,Catalan,Sounds/cat_pa.wav,FALSE,b.r0.E.d,5,4,28.3333,5,p.a.n,,,48.2452,0,0,different,0,0.285714285714285,0,different,0,0.333333333333333,0.8,same_consonant,2,0
163,papallona,papallona,/pə.pəˈʎo.nə/,butterfly,/ˈbʌtəflaɪ/,papallona,/pə.pəˈʎo.nə/,mariposa,/ma.ɾiˈpo.sa/,4.01438359,Catalan,Sounds/cat_papallona.wav,FALSE,b.V.t.56.f.l.aI,9,7,5.5098,0,m.a.4.i.p.o.s.a,,,6.7067,2,0.25,different,1,0.125,0.125,different,1,0.125,0.25,different,1,0
164,patata,patata,/pəˈta.tə/,potato,/pəˈteɪtəʊ/,patata,/pəˈta.tə/,patata,/paˈta.ta/,4.43921987,Catalan,Sounds/cat_patata.wav,FALSE,p.5.t.eI.t.oU,6,6,11.2941,0,p.a.t.a.t.a,,,2.7163,2,0.428571428571428,same_consonant,1,0,0.714285714285714,same_consonant,3,0,0.666666666666666,same_consonant,3,0
165,pernil,pernil,/pərˈniɫ/,ham,/hæm/,pernil,/pərˈniɫ/,jamón,/xaˈmon/,4.22505132,Catalan,Sounds/cat_pernil.wav,FALSE,h.1.m,3,3,11.5882,18,x.a.m.o.n,,,8.6058,1,,,,,0,different,0,0,0.181818181818181,different,1,0
166,peu,peu,/pɛw/,foot,/fʊt/,peu,/pɛw/,pierna,/ˈpjer.na/,4.93358884,Catalan,Sounds/cat_peu.wav,FALSE,f.U.t,4,3,64.9216,5,p.j.E.4.n.a,,,51.5144,2,,,,,0,different,0,0,0.222222222222222,same_consonant,1,0
168,planta,planta,/ˈpɫan.tə/,plant,/plɑːnt/,planta,/ˈpɫan.tə/,planta,/ˈplan.ta/,4.76538989,Catalan,Sounds/cat_planta.wav,FALSE,p.l.1.n.t,5,5,27.6078,4,p.l.a.n.t.a,,,26.6587,1,,,,,0.727272727272727,same_consonant,2,0,0.833333333333333,same_consonant,5,0
169,plat,plat,/ˈpɫat/,plate,/pleɪt/,plat,/ˈpɫat/,plato,/ˈpla.to/,5.01417243,Catalan,Sounds/cat_plat.wav,FALSE,p.l.eI.t,5,4,25.6471,7,p.l.a.t.o,,,27.7644,0,0.6,same_consonant,2,0,0.666666666666666,same_consonant,2,0,0.888888888888888,same_consonant,4,0
170,ploma,ploma,/ˈplo.mə/,feather,/ˈfɛðə/,ploma,/ˈplo.mə/,pluma,/ˈpo.ʎo/,3.98651569,Catalan,Sounds/cat_ploma.wav,FALSE,f.E.D.56,7,4,6.6275,6,p.l.u.m.a,,,10.9615,2,0,different,0,0,0.222222222222222,different,1,0,0.444444444444444,same_consonant,1,0
