group,trial_id,test_language,word,freq,pthn,onset,stress_overlap,vowel_ratio,consonant_ratio,correct,n,proportion
ENG-CAT,104,Catalan,abella,4.01494034979294,27,Different,No overlap,0,0,0,29,0
ENG-CAT,105,Catalan,aigua,5.35229831453437,0,Different,No overlap,0.22,0.22,11,31,0.354838709677419
ENG-CAT,106,Catalan,aixeta,4.16879202031418,8,Different,No overlap,0.25,0.2,0,32,0
ENG-CAT,107,Catalan,amanida,4.23095955574857,0,Different,No overlap,0.17,0.12,0,30,0
ENG-CAT,108,Catalan,ampolla,4.70543604658525,0,Different,No overlap,0,0.16,0,29,0
ENG-CAT,109,Catalan,arbre,4.81291335664286,5,Different,No overlap,0.19,0.29,0,30,0
ENG-CAT,110,Catalan,berenar,3.96094619573383,5,Different,No overlap,0.17,0.32,0,33,0
ENG-CAT,111,Catalan,bibero,4.70543604658525,0,Same,No overlap,0,0.32,1,30,0.0333333333333333
ENG-CAT,112,Catalan,bici,4.41296427199666,9,Same,Overlap,0.25,0.42,2,32,0.0625
ENG-CAT,113,Catalan,boca,5.01874209576238,0,Different,No overlap,0.04,0.23,1,33,0.0303030303030303
ENG-CAT,114,Catalan,bol,4.33142729652074,12,Same,Overlap,0.14,0.57,5,33,0.151515151515152
ENG-CAT,115,Catalan,bolet,3.33041377334919,1,Different,No overlap,0.18,0.24,0,32,0
ENG-CAT,116,Catalan,bolquer,2.89209460269048,8,Different,No overlap,0.04,0.25,0,32,0
ENG-CAT,117,Catalan,boto,4.45101845215546,0,Same,No overlap,0.13,0.5,4,33,0.121212121212121
ENG-CAT,118,Catalan,bou,4.43949059038968,6,Same,Overlap,0.33,0.33,3,33,0.0909090909090909
ENG-CAT,119,Catalan,caixa,4.95303445725036,0,Different,No overlap,0,0.25,0,33,0
ENG-CAT,120,Catalan,cama,4.7521253072979,2,Different,No overlap,0.24,0.36,2,33,0.0606060606060606
ENG-CAT,121,Catalan,camisa,4.6662370958958,6,Different,No overlap,0.19,0.4,8,33,0.242424242424242
ENG-CAT,122,Catalan,casa,5.71096311899528,1,Different,No overlap,0.25,0.18,10,33,0.303030303030303
ENG-CAT,123,Catalan,cavall,4.96792220673052,2,Different,No overlap,0.13,0.37,4,32,0.125
ENG-CAT,124,Catalan,cirera,4.13321945673249,6,Different,No overlap,0.3,0.37,0,31,0
ENG-CAT,125,Catalan,colom,3.77085201164214,0,Different,No overlap,0.17,0.41,0,32,0
ENG-CAT,126,Catalan,corona,4.13640344813399,4,Same,No overlap,0.18,0.36,2,28,0.0714285714285714
ENG-CAT,127,Catalan,cotxe,5.68400107702596,2,Same,Overlap,0.22,0.33,1,32,0.03125
ENG-CAT,128,Catalan,cuc,4.00518051250378,8,Different,No overlap,0.11,0.4,0,33,0
ENG-CAT,129,Catalan,dit,4.5643109099606,0,Different,No overlap,0.25,0.33,1,33,0.0303030303030303
ENG-CAT,130,Catalan,entrepa,4.34084054981233,0,Different,No overlap,0,0.24,1,31,0.032258064516129
