"trial_id","group","word1","word2","phon_trace","frequency","pthn","lv","consonant_ratio","vowel_ratio","onset","overlap_stress"
100,"ENG-SPA","chaqueta","jacket","dMakIt",33.4118,0,0.333333333333333,0.533333333333333,0.303030303030303,"Different",1
101,"ENG-SPA","ola","wave","wEIv",21.2549,8,0,0,0.142857142857142,"Different",0
102,"ENG-SPA","pingüino","penguin","pDNgwIn",2.8824,0,0.625,0.666666666666666,0.222222222222222,"Same",1
103,"ENG-SPA","tigre","tiger","t^Ig@",18.5294,0,0.2,0.373333333333333,0.2,"Same",1
104,"ENG-CAT","abella","bee","bii",NA,NA,0,0,0,"Different",0
105,"ENG-CAT","aigua","water","wLLt@",NA,NA,0.2,0.222222222222222,0.222222222222222,"Different",0
106,"ENG-CAT","aixeta","tap","tap",14.7451,8,0,0.2,0.25,"Different",0
107,"ENG-CAT","amanida","salad","sal@d",17.0196,0,0,0.122222222222222,0.166666666666666,"Different",0
108,"ENG-CAT","ampolla","bottle","bQtl",50.7451,0,0,0.16,0,"Different",0
109,"ENG-CAT","berenar","snack","snak",NA,NA,0,0.32,0.166666666666666,"Different",0
110,"ENG-CAT","biberó","bottle","bQtl",50.7451,0,0.166666666666667,0.32,0,"Same",0
111,"ENG-CAT","bici","bike","b^Ik",25.8824,9,0.25,0.416666666666666,0.25,"Same",1
112,"ENG-CAT","boca","mouth","maUT",104.4118,0,0,0.233333333333333,0.0416666666666666,"Different",0
113,"ENG-CAT","bol","bowl","b@Ul",21.451,12,0.25,0.571428571428571,0.142857142857142,"Same",1
114,"ENG-CAT","bolet","mushroom","m^SrUm",NA,NA,0,0.242424242424242,0.181818181818181,"Different",0
115,"ENG-CAT","bolquer","nappy","napi",0.78431,8,0,0.251851851851851,0.037037037037037,"Different",0
116,"ENG-CAT","botó","button","b^tn",28.2549,0,0.5,0.5,0.125,"Same",0
117,"ENG-CAT","bou","bull","bUl",27.5098,6,0.333333333333333,0.333333333333333,0.333333333333333,"Same",1
118,"ENG-CAT","caixa","box","bQks",89.7451,0,0,0.25,0,"Different",0
119,"ENG-CAT","cama","bed","bDd",NA,NA,0,0.361904761904761,0.238095238095238,"Different",0
120,"ENG-CAT","camisa","shirt","S@@t",46.3725,6,0,0.4,0.19047619047619,"Different",0
121,"ENG-CAT","casa","house","haUs",NA,NA,0.25,0.183333333333333,0.25,"Different",0
122,"ENG-CAT","cavall","horse","hLLs",92.8824,2,0,0.366666666666666,0.125,"Different",0
123,"ENG-CAT","cirera","cherry","tSDri",13.5882,6,0,0.373333333333333,0.3,"Different",0
124,"ENG-CAT","colom","pigeon","pIdMIn",NA,NA,0,0.413333333333333,0.166666666666666,"Different",0
125,"ENG-CAT","corona","crown","kraUn",13.6863,4,0.333333333333333,0.363636363636363,0.181818181818181,"Same",0
126,"ENG-CAT","cotxe","car","kA",483.0588,2,0.2,0.333333333333333,0.222222222222222,"Same",1
127,"ENG-CAT","cuc","worm","w@@m",10.1176,8,0,0.4,0.111111111111111,"Different",0
128,"ENG-CAT","dit","finger","fINg@",36.6667,0,0,0.333333333333333,0.25,"Different",0
129,"ENG-CAT","entrepà","sandwich","sanwIdM",21.9216,0,0,0.235897435897435,0,"Different",0
130,"ENG-CAT","esponja","sponge","sp^ndM",6.7059,0,0.428571428571429,0.655555555555555,0.138888888888888,"Different",1
131,"ENG-CAT","estrella","star","stA",81.3529,3,0.285714285714286,0.4,0,"Different",1
132,"ENG-CAT","estruç","ostrich","QstrItS",0.94118,0,0.285714285714286,0.644444444444444,0.138888888888888,"Different",1
133,"ENG-CAT","flor","flower","flaU@",22.7647,1,0.2,0.5,0.0833333333333333,"Same",1
134,"ENG-CAT","formiga","ant","ant",5.3529,9,0,0.133333333333333,0,"Different",0
135,"ENG-CAT","forquilla","fork","fLLk",8.8235,12,0.285714285714286,0.4,0.133333333333333,"Same",1
136,"ENG-CAT","fulla","leaf","liif",NA,NA,0,0.285714285714285,0,"Different",1
137,"ENG-CAT","galeta","biscuit","bIskIt",NA,NA,0,0.388888888888888,0.111111111111111,"Different",0
138,"ENG-CAT","galleda","bucket",NA,10.0196,1,0,0.351515151515151,0.242424242424242,"Different",0
139,"ENG-CAT","gat","cat","kat",66.3333,9,0.333333333333333,0.644444444444444,0.277777777777777,"Different",1
140,"ENG-CAT","gerd","grass","grAs",NA,NA,0,0.433333333333333,0,"Different",1
141,"ENG-CAT","girafa","giraffe","dMIrAf",1.4902,0,0.166666666666667,0.533333333333333,0.303030303030303,"Different",1
142,"ENG-CAT","globus","balloon","b@luun",8.6667,0,0.166666666666667,0.424242424242424,0.181818181818181,"Different",0
143,"ENG-CAT","gorra","cap","kap",NA,NA,0,0.399999999999999,0.0952380952380952,"Different",0
144,"ENG-CAT","got","cup","k^p",NA,NA,0,0.577777777777777,0.277777777777777,"Different",0
145,"ENG-CAT","guitarra","guitar","gItA",15.5882,0,0.333333333333333,0.4,0.333333333333333,"Same",1
146,"ENG-CAT","lleó","lion","l^I@n",15.3529,1,0.2,0.2,0.25,"Different",0
147,"ENG-CAT","llibre","book","bUk",176.9804,3,0,0.166666666666666,0.125,"Different",0
148,"ENG-CAT","lloro","parrot","par@t",3.2745,2,0,0.296296296296296,0.185185185185185,"Different",0
149,"ENG-CAT","lluna","moon","muun",49.9608,6,0.5,0.342857142857142,0.285714285714285,"Different",1
150,"ENG-CAT","ma","hand","hand",279.6471,2,0,0.0666666666666666,0.277777777777777,"Different",0
