participant,group,trial_id,test_language,country,word,input_text,typing_offset,consonant_ratio,vowel_ratio,onset,pthn,freq,stress_overlap
11311,ENG-CAT,184,Catalan,UK,ull,jungle,4.634000063,0,0,different,18,111.78,0
11311,ENG-CAT,185,Catalan,UK,ulleres,ears,2.367000103,0.3,0.0555555555555555,different,0,33.12,0
11311,ENG-CAT,186,Catalan,UK,ungla,nail,3.434000015,0.222222222222222,0,different,8,18.65,0
11311,ENG-CAT,187,Catalan,UK,vaixell,comb,5.549999952,0.222222222222222,0.222222222222222,same_consonant,5,95.78,1
11311,ENG-CAT,188,Catalan,UK,xocolata,chocolate,2.448999882,0.524444444444444,0.2,different,0,29.39,0
11311,ENG-CAT,189,Catalan,UK,zebra,zebra,3.049999952,0.573333333333333,0.366666666666666,same_consonant,0,2.51,1
11399,ENG-CAT,104,Catalan,UK,abella,party,3.132999897,0,0,different,27,10.35,0
11399,ENG-CAT,105,Catalan,UK,aigua,iguana,2.059999943,0.222222222222222,0.222222222222222,different,0,225.06,0
11399,ENG-CAT,106,Catalan,UK,aixeta,roof,2.415999889,0.2,0.25,different,8,14.75,0
11399,ENG-CAT,107,Catalan,UK,amanida,jellyfish,6.049000025,0.122222222222222,0.166666666666666,different,0,17.02,0
11399,ENG-CAT,108,Catalan,UK,ampolla,loud,7.56400013,0.16,0,different,0,50.75,0
11399,ENG-CAT,109,Catalan,UK,arbre,well done,2.799999952,0.285714285714285,0.19047619047619,different,5,65,0
11399,ENG-CAT,110,Catalan,UK,berenar,brother,3.733999968,0.32,0.166666666666666,different,5,9.14,0
11399,ENG-CAT,111,Catalan,UK,bibero,alive,2.334000111,0.32,0,same_consonant,0,50.75,0
11399,ENG-CAT,112,Catalan,UK,bici,biscuit,3.433000088,0.416666666666666,0.25,same_consonant,9,25.88,1
11399,ENG-CAT,113,Catalan,UK,boca,bull,2.949999809,0.233333333333333,0.0416666666666666,different,0,104.41,0
11399,ENG-CAT,114,Catalan,UK,bol,ball,1.934000015,0.571428571428571,0.142857142857142,same_consonant,12,21.45,1
11399,ENG-CAT,115,Catalan,UK,bolet,ticket,5.015999794,0.242424242424242,0.181818181818181,different,1,2.14,0
11399,ENG-CAT,116,Catalan,UK,bolquer,bouquet,9.19799995,0.251851851851851,0.037037037037037,different,8,0.78,0
11399,ENG-CAT,117,Catalan,UK,boto,butter,3.25,0.5,0.125,same_consonant,0,28.25,0
11399,ENG-CAT,118,Catalan,UK,bou,bow,2.750999928,0.333333333333333,0.333333333333333,same_consonant,6,27.51,1
11399,ENG-CAT,119,Catalan,UK,caixa,soup,2.565999985,0.25,0,different,0,89.75,0
11399,ENG-CAT,120,Catalan,UK,cama,milk,2.532999992,0.361904761904761,0.238095238095238,different,2,56.51,0
11399,ENG-CAT,121,Catalan,UK,camisa,table cloth,4.817000151,0.4,0.19047619047619,different,6,46.37,0
11399,ENG-CAT,122,Catalan,UK,casa,soup,3.031000137,0.183333333333333,0.25,different,1,514,0
11399,ENG-CAT,123,Catalan,UK,cavall,sweets,3.299999952,0.366666666666666,0.125,different,2,92.88,0
11399,ENG-CAT,124,Catalan,UK,cirera,sister,2.098999977,0.373333333333333,0.3,different,6,13.59,0
11399,ENG-CAT,125,Catalan,UK,colom,long,7.217000008,0.413333333333333,0.166666666666666,different,0,5.9,0
11399,ENG-CAT,126,Catalan,UK,corona,donkey,11.3499999,0.363636363636363,0.181818181818181,same_consonant,4,13.69,0
11399,ENG-CAT,127,Catalan,UK,cotxe,guide,6.049000025,0.333333333333333,0.222222222222222,same_consonant,2,483.06,1
11399,ENG-CAT,128,Catalan,UK,cuc,cow,4.453999996,0.4,0.111111111111111,different,8,10.12,0
11399,ENG-CAT,129,Catalan,UK,dit,speech,9.09900022,0.333333333333333,0.25,different,0,36.67,0
11399,ENG-CAT,130,Catalan,UK,entrepa,circus,4.26699996,0.235897435897435,0,different,0,21.92,0
11399,ENG-CAT,131,Catalan,UK,esponja,spoge,2.467000008,0.655555555555555,0.138888888888888,different,0,6.71,1
11399,ENG-CAT,132,Catalan,UK,estrella,sausage,8.115999937,0.4,0,different,3,81.35,1
11399,ENG-CAT,133,Catalan,UK,estruc,oven,4.450000048,0.644444444444444,0.138888888888888,different,0,0.94,1
11399,ENG-CAT,134,Catalan,UK,flor,fly,2.786000013,0.5,0.0833333333333333,same_consonant,1,22.76,1
11399,ENG-CAT,135,Catalan,UK,formiga,cheese,4.5849998,0.133333333333333,0,different,9,5.35,0
11399,ENG-CAT,136,Catalan,UK,forquilla,pasta,5.549999952,0.4,0.133333333333333,same_consonant,12,8.82,1
11399,ENG-CAT,137,Catalan,UK,fulla,money,2.132999897,0.285714285714285,0,different,13,5.2,1
11399,ENG-CAT,138,Catalan,UK,galeta,letter,3.433000088,0.388888888888888,0.111111111111111,different,,,0
11399,ENG-CAT,139,Catalan,UK,galleda,grandmother,4.849999905,0.351515151515151,0.242424242424242,different,1,10.02,0
11399,ENG-CAT,140,Catalan,UK,gat,fork,5.266000032,0.644444444444444,0.277777777777777,different,9,66.33,1
11399,ENG-CAT,141,Catalan,UK,gerd,wife,6.282999992,0.433333333333333,0,different,4,16.78,1
11399,ENG-CAT,142,Catalan,UK,girafa,giraffe,3.883000135,0.533333333333333,0.303030303030303,different,0,1.49,1
11399,ENG-CAT,143,Catalan,UK,globus,drink,4.666000128,0.424242424242424,0.181818181818181,different,0,8.67,0
11399,ENG-CAT,144,Catalan,UK,gorra,tree,9.80099988,0.399999999999999,0.0952380952380952,different,11,18.75,0
11399,ENG-CAT,145,Catalan,UK,got,god,2.482999802,0.577777777777777,0.277777777777777,different,6,51.65,0
11399,ENG-CAT,146,Catalan,UK,guitarra,guitar,1.382999897,0.4,0.333333333333333,same_consonant,0,15.59,1
11399,ENG-CAT,147,Catalan,UK,jaqueta,jacket,1.48300004,0.533333333333333,0.242424242424242,different,0,33.41,1
11399,ENG-CAT,148,Catalan,UK,lleo,my,6.583000183,0.2,0.25,different,1,15.35,0
11399,ENG-CAT,149,Catalan,UK,llibre,free,3.033000231,0.166666666666666,0.125,different,3,176.98,0
11399,ENG-CAT,150,Catalan,UK,lloro,leek,3.23300004,0.296296296296296,0.185185185185185,different,2,3.27,0
11399,ENG-CAT,151,Catalan,UK,lluna,moon,2.165999889,0.342857142857142,0.285714285714285,different,6,49.96,1
11399,ENG-CAT,152,Catalan,UK,ma,strawberry,4.200000048,0.0666666666666666,0.277777777777777,different,2,279.65,0
