participant,date,test_language,age,sex,l1,l2,l2oral,l2written,country,city,vision,impairment,location,noise,n,exclude_trials
5ede198e9586fe02aecca093,2020-06-08T15:16:03.905Z,Catalan,20,,,French,4,4,Spain,Cartagena,FALSE,FALSE,1,2,85,FALSE
5ede1a11281b7602eb5cf5ea,2020-06-28T17:35:08.619Z,Catalan,22,,,,4,4,Spain,Cieza,FALSE,FALSE,1,1,85,FALSE
5ede1e445c4bda03a80555e6,2020-06-08T20:10:22.080Z,Catalan,20,,,French,3,4,Spain,Albacete,FALSE,FALSE,1,1,85,FALSE
5ede212260122c03b3a4c676,2020-06-12T12:49:16.035Z,Catalan,25,,,,3,3,Spain,Murcia,FALSE,FALSE,1,2,85,FALSE
5ede2161e9851d03c61433b5,2020-06-13T12:12:57.975Z,Catalan,19,,,,4,4,Spain,Murcia,FALSE,FALSE,1,1,85,FALSE
5ede22045e3396035124cb6b,2020-06-09T18:22:59.733Z,Catalan,19,,,French,4,4,Spain,Murcia,FALSE,FALSE,1,2,85,FALSE
5ede22ac2ec6380417664519,2020-06-09T14:08:42.784Z,Catalan,20,,,,3,3,Spain,Murcia,FALSE,FALSE,1,1,85,FALSE
5ede234d69a8800409af2756,2020-06-08T18:11:41.559Z,Catalan,24,,,,3,4,Spain,Cartagena,FALSE,FALSE,1,1,85,FALSE
5ee0c7ff8480ea0636fe856e,2020-06-25T09:14:41.368Z,Spanish,20,,,,,,UK,Oxford,TRUE,FALSE,1,1,103,FALSE
5ee3dc4bdfe64a0b4411b8f4,2020-06-14T18:11:09.523Z,Catalan,22,,,German,4,4,Spain,Murcia,FALSE,FALSE,1,2,85,FALSE
5ee3dcd47bfde60b782a3f3d,2020-06-13T22:26:53.156Z,Catalan,20,,,,3,3,Spain,Murcia,TRUE,FALSE,1,2,85,FALSE
5ee3dd701da2350bd1e67f35,2020-06-13T12:25:09.538Z,Catalan,22,,,,,,Spain,Murcia,FALSE,FALSE,1,2,85,FALSE
5ee3ddcd3f9ded0c586a8edf,2020-06-16T12:01:52.352Z,Catalan,24,,,Italian,3,4,Spain,Murcia,FALSE,FALSE,1,1,85,FALSE
5ee3de894809040c1c9a619a,2020-06-13T19:14:39.169Z,Catalan,25,,,,3,3,Spain,Murcia,FALSE,FALSE,1,2,85,FALSE
5ee3df1db2f7190ba57f464a,2020-06-16T10:08:59.496Z,Catalan,18,,,,2,4,Spain,Murcia,FALSE,FALSE,1,1,85,FALSE
5ee3df5052f1050b1ae6fe50,2020-06-13T16:18:19.035Z,Catalan,19,,,French,3,4,Spain,Lorca,FALSE,FALSE,1,1,85,FALSE
5ee3dfc37e2f6d0b805831bc,2020-06-17T10:52:06.664Z,Catalan,22,,,,3,3,Spain,Murcia,FALSE,FALSE,1,1,85,FALSE
5ee3e04903b8560b39e58d9e,2020-06-15T17:55:19.900Z,Catalan,19,,,,,,Spain,Albacete,TRUE,FALSE,1,2,85,FALSE
5ee3e0ad6b4a780c4b3b39cd,2020-06-13T22:03:32.059Z,Catalan,21,,,,4,4,Spain,Murcia,FALSE,FALSE,1,1,85,FALSE
5ee7665a74f20302efda997f,2020-06-24T18:18:01.106Z,Spanish,24,,,,,,UK,Hartlepool,TRUE,FALSE,1,2,103,FALSE
