participant,trial_id,word,phonology,language_l1,test_language,accuracy,typing_onset,sim,lev,frequency_zipf
5e6571b32013562f77434b40,30,corona,/koˈɾo.na/,English,Spanish,0.0833333333333333,0.815000057,0.09025480610426,-0.497339062964917,-1.0475130333315
5e6571b32013562f77434b40,31,cubo,/'ku.βo/,English,Spanish,0.04,2.197999954,-0.486153385457287,1.47881765488647,-1.26093810045368
5e6571b32013562f77434b40,32,cuchara,/kuˈt͡ʃa.ɾa/,English,Spanish,0.0204081632653061,2.264999866,-0.876564045556482,1.35132367308961,-1.32230375796847
5e6571b32013562f77434b40,33,dedo,/ˈde.ðo/,English,Spanish,0.04,1.032000065,-1.05335377843159,1.01983932041776,-0.499856015693921
5e6571b32013562f77434b40,34,ensalada,/ensaˈlada/,English,Spanish,0.0740740740740741,1.465000153,0.751091427788858,-1.00731499015237,-0.802541080352047
5e6571b32013562f77434b40,35,esponja,/esˈpoŋ.xa/,English,Spanish,0.0408163265306122,1.265000105,0.231528744428565,-0.160390682501777,-1.32230375796847
5e6571b32013562f77434b40,36,estrella,/esˈtɾe.ʎa/,English,Spanish,0.015625,2.36500001,-0.0399697739153478,-0.488232349979428,-0.373332462160831
5e6571b32013562f77434b40,37,flor,/flor/,English,Spanish,0.111111111111111,0.43200016,0.445675831571925,-0.892570406535194,-0.945022201029828
5e6571b32013562f77434b40,38,frambuesa,/fɾamˈbwe.sa/,English,Spanish,0.0246913580246914,1.697999954,-0.840455031488853,0.0338858611886833,-1.91756162951679
5e6571b32013562f77434b40,39,gafas,/ga'fas/,English,Spanish,0,6.546999931,0.283618576436412,-0.215030960414717,-1.11121841131619
5e6571b32013562f77434b40,40,galleta,/ɡa.'ʎe.ta/,English,Spanish,0,1.499000072,-0.283581816537892,0.586359782308425,-1.11587458027624
5e6571b32013562f77434b40,41,gallina,/ɡəˈʎi.na/,English,Spanish,0.0408163265306122,1.214999914,-1.17489671978322,1.16008270039431,-1.0018758907548
5e6571b32013562f77434b40,42,gato,/'ɡa.to/,English,Spanish,0,2.6650002,0.960786392538383,-1.67665839458591,-0.427436117132671
5e6571b32013562f77434b40,43,globo,/ˈɡlo.βo/,English,Spanish,0.16,0.36500001,-0.228335025014422,0.458865800511562,-1.1020513282389
5e6571b32013562f77434b40,44,gorrion,/ɡoˈrjon/,English,Spanish,0.0408163265306122,8.978999853,-0.526667699241166,0.841347745902154,-2.23428331490789
5e6571b32013562f77434b40,45,gorro,/ˈɡo.ro/,English,Spanish,0,2.230999947,-1.53952554383813,1.47881765488647,-1.58453885945989
5e6571b32013562f77434b40,46,grifo,/ˈɡɾi.fo/,English,Spanish,0,4.363999844,-1.53952554383813,1.47881765488647,-1.83349655183165
5e6571b32013562f77434b40,47,guitarra,/giˈta.ra/,English,Spanish,0.09375,0.0990002160000001,1.10311265070123,-1.13480897194924,-0.920331066150566
5e6571b32013562f77434b40,48,gusano,/ɡuˈsa.no/,English,Spanish,0,0.715999842,-1.53952554383813,1.03258871859745,-1.16431895986892
5e6571b32013562f77434b40,49,hormiga,/oɾˈmi.ɣa/,English,Spanish,0,2.266000032,-0.810267895728318,0.650106773206858,-1.75088948343525
5e6571b32013562f77434b40,50,jirafa,/xi'ɾa.fa/,English,Spanish,0.0816326530612245,3.11500001,0.202589948868652,0.0763838551209707,-1.87879407750205
5e6571b32013562f77434b40,51,ladrillo,/laˈdɾi.ʎo/,English,Spanish,0.015625,3.930999994,-0.497728903681252,1.09633570949588,-1.4361018849686
5e6571b32013562f77434b40,52,lapiz,/ˈla.piθ/,English,Spanish,0.0277777777777778,4.513999939,-0.32409613032177,1.01983932041776,-0.995420940612481
5e6571b32013562f77434b40,53,leche,/ˈle.t͡ʃe/,English,Spanish,0,0.865999937,-0.62795348370086,0.713853764105292,-0.4791142887662
