participant,group,n,n_valid,n_correct,prop_correct,test_language,age,date,l2,l2oral,l2written,catalan_oral,catalan_written,spanish_oral,spanish_written,sex,vision,impairment,country,invalid_participant_trials,valid_participant
5ec27b1c7207c90574afa448,ENG-SPA,103,103,12,0.116504854368932,Spanish,24,2020-06-08T18:11:04.154Z,None,2,2,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5ec54a7637927134ac7d3dc3,ENG-CAT,86,41,10,0.24390243902439,Catalan,18,2020-06-12T20:53:05.746Z,None,1,2,1,2,1,2,Male,TRUE,FALSE,UK,TRUE,FALSE
5ec56cd8269fcc53a3dfb6c4,ENG-CAT,86,86,12,0.13953488372093,Catalan,21,2020-06-04T21:21:28.217Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5ec7e258f052ac26af7aafc5,ENG-SPA,103,102,16,0.156862745098039,Spanish,23,2020-06-24T18:03:15.124Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5ec83d67cfe53914464d2062,ENG-SPA,103,102,16,0.156862745098039,Spanish,23,2020-06-05T16:23:01.244Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5ec8f15fce3f413ef07d6cc5,ENG-CAT,86,85,19,0.223529411764706,Catalan,21,2020-06-08T18:12:41.245Z,None,,,1,1,2,2,Male,TRUE,FALSE,UK,FALSE,TRUE
5eca8f766efc6002c151bb05,ENG-CAT,86,86,13,0.151162790697674,Catalan,23,2020-06-05T15:36:04.575Z,None,,,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5ece703852564823b1b07a59,ENG-CAT,86,86,15,0.174418604651163,Catalan,22,2020-06-08T18:21:10.067Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5ed0d7a61cb3e101dc72f93e,ENG-CAT,86,65,19,0.292307692307692,Catalan,21,2020-06-05T12:41:09.595Z,None,1,1,1,1,1,1,Female,TRUE,FALSE,UK,TRUE,FALSE
5ed40c8f237b5d09810ae6b5,ENG-CAT,86,86,15,0.174418604651163,Catalan,23,2020-06-05T16:12:11.676Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5ed4bba6bd73d9482bfc6170,ENG-CAT,86,81,7,0.0864197530864198,Catalan,25,2020-06-05T12:49:34.107Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5ed8bf9551f146017b7ac03e,ENG-SPA,103,103,16,0.155339805825243,Spanish,20,2020-06-24T18:56:21.943Z,None,,,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5ede1449d426ce02a290fe0a,SPA-CAT,85,85,42,0.494117647058824,Catalan,21,2020-06-08T22:32:00.458Z,Francã‰s,4,4,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ede149fcff15e03097dded2,SPA-CAT,85,85,36,0.423529411764706,Catalan,23,2020-06-09T16:04:11.481Z,Cuãl,3,2,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ede1560a80d4f02f3e6e997,SPA-CAT,85,77,38,0.493506493506494,Catalan,20,2020-06-08T15:01:17.047Z,Italian,3,3,1,1,,,Female,TRUE,FALSE,Spain,FALSE,FALSE
5ede16d21b8bce022ee5dd32,SPA-CAT,85,80,44,0.55,Catalan,25,2020-06-08T18:35:31.652Z,None,4,4,2,1,,,Female,TRUE,FALSE,Spain,FALSE,TRUE
5ede17651b8bce028a0853b3,SPA-CAT,85,85,42,0.494117647058824,Catalan,25,2020-06-17T16:10:50.022Z,None,2,4,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ede18e41b8bce022ee5dd40,SPA-CAT,85,82,48,0.585365853658537,Catalan,19,2020-06-11T13:04:20.580Z,French,4,3,2,1,,,Male,TRUE,FALSE,Spain,FALSE,TRUE
5ede198e9586fe02aecca093,SPA-CAT,85,83,38,0.457831325301205,Catalan,20,2020-06-08T15:16:03.905Z,French,4,4,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ede1a11281b7602eb5cf5ea,SPA-CAT,85,83,38,0.457831325301205,Catalan,22,2020-06-28T17:35:08.619Z,None,4,4,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ede1e445c4bda03a80555e6,SPA-CAT,85,80,37,0.4625,Catalan,20,2020-06-08T20:10:22.080Z,Francã‰s,3,4,1,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ede212260122c03b3a4c676,SPA-CAT,85,85,42,0.494117647058824,Catalan,25,2020-06-12T12:49:16.035Z,None,3,3,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ede2161e9851d03c61433b5,SPA-CAT,85,81,49,0.604938271604938,Catalan,19,2020-06-13T12:12:57.975Z,None,4,4,1,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ede22045e3396035124cb6b,SPA-CAT,85,85,50,0.588235294117647,Catalan,19,2020-06-09T18:22:59.733Z,Francã‰s,4,4,2,1,,,Male,FALSE,FALSE,Spain,FALSE,TRUE
5ede22ac2ec6380417664519,SPA-CAT,85,83,36,0.433734939759036,Catalan,20,2020-06-09T14:08:42.784Z,None,3,3,2,1,,,Male,FALSE,FALSE,Spain,FALSE,TRUE
5ede234d69a8800409af2756,SPA-CAT,85,82,42,0.51219512195122,Catalan,24,2020-06-08T18:11:41.559Z,None,3,4,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ee0c7ff8480ea0636fe856e,ENG-SPA,103,100,25,0.25,Spanish,20,2020-06-25T09:14:41.368Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5ee3dc4bdfe64a0b4411b8f4,SPA-CAT,85,85,46,0.541176470588235,Catalan,22,2020-06-14T18:11:09.523Z,Alemãn,4,4,3,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ee3dcd47bfde60b782a3f3d,SPA-CAT,85,81,48,0.592592592592593,Catalan,20,2020-06-13T22:26:53.156Z,None,3,3,2,1,,,Female,TRUE,FALSE,Spain,FALSE,TRUE
5ee3dd701da2350bd1e67f35,SPA-CAT,85,85,45,0.529411764705882,Catalan,22,2020-06-13T12:25:09.538Z,None,,,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ee3ddcd3f9ded0c586a8edf,SPA-CAT,85,82,30,0.365853658536585,Catalan,24,2020-06-16T12:01:52.352Z,Italian,3,4,1,1,,,Female,FALSE,FALSE,Spain,FALSE,FALSE
5ee3de894809040c1c9a619a,SPA-CAT,85,78,39,0.5,Catalan,25,2020-06-13T19:14:39.169Z,None,3,3,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ee3df1db2f7190ba57f464a,SPA-CAT,85,85,40,0.470588235294118,Catalan,18,2020-06-16T10:08:59.496Z,None,2,4,1,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ee3df5052f1050b1ae6fe50,SPA-CAT,85,83,38,0.457831325301205,Catalan,19,2020-06-13T16:18:19.035Z,Francã‰s,3,4,3,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ee3dfc37e2f6d0b805831bc,SPA-CAT,85,85,43,0.505882352941176,Catalan,22,2020-06-17T10:52:06.664Z,None,3,3,1,1,,,Male,FALSE,FALSE,Spain,FALSE,TRUE
5ee3e04903b8560b39e58d9e,SPA-CAT,85,80,32,0.4,Catalan,19,2020-06-15T17:55:19.900Z,None,,,2,1,,,Female,TRUE,FALSE,Spain,FALSE,TRUE
5ee3e0ad6b4a780c4b3b39cd,SPA-CAT,85,85,45,0.529411764705882,Catalan,21,2020-06-13T22:03:32.059Z,None,4,4,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ee7665a74f20302efda997f,ENG-SPA,103,96,14,0.145833333333333,Spanish,24,2020-06-24T18:18:01.106Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
